Supplementary Table 7. Genes in DEPICT-defined loci,,,,,,,,,
Locus,Number of genes in locus,Chromosome and position,GWAS P-value,Ensembl gene ID,Gene symbol,Nominal P-value,Gene closest to lead SNP,FDR,
rs9415068;rs11000468,6,chr10:74033678-74714536,1.41E-07,ENSG00000138308,PLA2G12B,1,TRUE,>0.20,
rs11663602;rs12970264;rs62103198;rs611517,8,chr18:77623668-78005429,9.27E-17,ENSG00000226924,-,1,FALSE,>0.20,
rs17536059,1,chr11:111126707-111157126,6.45E-09,ENSG00000150750,C11orf53,1,TRUE,>0.20,
rs1671770;rs1718188;rs10774563;rs113473640,18,chr12:120881764-121623876,9.05E-12,ENSG00000135114,OASL,1,FALSE,>0.20,
rs35442875,1,chr21:21629065-21631133,6.04E-06,ENSG00000233236,-,1,TRUE,>0.20,
rs6799725,2,chr3:167159577-167371771,5.00E-06,ENSG00000114204,SERPINI2,1,TRUE,>0.20,
rs10875882,1,chr12:49250928-49259681,5.08E-08,ENSG00000172602,RND1,1,TRUE,>0.20,
rs34137944,4,chr3:58318607-58523046,3.69E-07,ENSG00000168306,ACOX2,1,FALSE,>0.20,
rs35550545;rs188415602;rs12718416;rs192569608;rs144581493,33,chr1:149900543-151098018,1.04E-07,ENSG00000143418,CERS2,1,FALSE,>0.20,
rs4984613;rs8032157,10,chr15:64199235-65067786,7.76E-10,ENSG00000157734,SNX22,1,FALSE,>0.20,
rs72675127,1,chr14:27342339-27383949,1.01E-06,ENSG00000257612,-,1,TRUE,>0.20,
rs28587776,3,chr5:177019159-177046755,2.55E-09,ENSG00000027847,B4GALT7,1,TRUE,>0.20,
rs11710391,1,chr3:139279022-139396859,6.87E-06,ENSG00000163864,NMNAT3,1,TRUE,>0.20,
rs7958371,1,chr12:103230663-103352188,5.99E-09,ENSG00000171759,PAH,1,TRUE,>0.20,
rs12145291;rs12145747;rs11210228;rs2341264;rs7412683,2,chr1:73240954-73820934,1.70E-20,ENSG00000233973,-,1,TRUE,>0.20,
rs34067381,3,chr3:123328896-123711025,9.77E-13,ENSG00000065371,ROPN1,1,FALSE,>0.20,
rs4673840;rs7597126;rs34130665;rs16851779;rs34340947,1,chr2:214149113-215275225,5.86E-13,ENSG00000144451,SPAG16,1,FALSE,>0.20,
rs5396,2,chr3:170712659-170744539,5.33E-08,ENSG00000163581,SLC2A2,1,TRUE,>0.20,
rs117120958,4,chr9:5881596-6066714,1.86E-06,ENSG00000228739,-,1,FALSE,>0.20,
rs939592,4,chr1:151584541-151743808,1.99E-07,ENSG00000143450,OAZ3,1,FALSE,>0.20,
rs9888796;rs62059344;rs255053;rs111965666;rs3868142,51,chr16:67143915-68601039,1.20E-12,ENSG00000102890,ELMO3,1,FALSE,>0.20,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000068001,HYAL2,1,FALSE,>0.20,
rs216130,4,chr5:149340300-149492935,4.20E-07,ENSG00000182578,CSF1R,1,FALSE,>0.20,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000184345,IQCF2,1,FALSE,>0.20,
rs7299842;rs11043298;rs10773208;rs12810587;rs78440611;rs11058322;rs10773002;rs34436758;rs10773515;rs12811983;rs112365238;rs61955089;rs146898200,26,chr12:122457328-124083116,2.50E-30,ENSG00000130921,C12orf65,1,TRUE,>0.20,
rs9611597;rs9607859;rs4822112;rs148537066;rs2899355;rs2142695,35,chr22:41165634-42828401,2.30E-08,ENSG00000198951,NAGA,1,FALSE,>0.20,
rs7972246;rs71452042;rs73091149,6,chr12:27091316-27576241,1.01E-13,ENSG00000029153,ARNTL2,1,FALSE,>0.20,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000174851,YIF1A,1,FALSE,>0.20,
rs1815532;rs8013401;rs12590545;rs61989562,7,chr14:66953072-67878917,8.01E-08,ENSG00000196553,LINC00238,1,TRUE,>0.20,
rs622169,1,chr1:244515937-244552965,2.73E-09,ENSG00000173728,C1orf100,1,TRUE,>0.20,
rs12409811;rs61804837,10,chr1:153777201-154243986,1.10E-07,ENSG00000143543,JTB,1,FALSE,>0.20,
rs2039204,8,chr9:130267618-130541020,5.23E-09,ENSG00000160404,TOR2A,1,FALSE,>0.20,
rs74615093;rs77295380,12,chr16:68877509-69419859,3.67E-08,ENSG00000157315,TMED6,1,FALSE,>0.20,
rs2297293;rs9978480,2,chr21:47063608-47424964,8.80E-11,ENSG00000142156,COL6A1,1,FALSE,>0.20,
rs1584250;rs61821535;rs11589514,2,chr1:159315956-159438858,2.30E-09,ENSG00000228560,-,1,TRUE,>0.20,
rs40546,1,chr8:90769975-90803291,8.27E-07,ENSG00000104312,RIPK2,1,TRUE,>0.20,
rs16966271;rs75674974,1,chr15:38361682-38365160,4.21E-09,ENSG00000236914,-,1,TRUE,>0.20,
rs8078137,2,chr17:42449550-42580802,4.44E-06,ENSG00000005961,ITGA2B,1,TRUE,>0.20,
rs17732878,6,chr17:7328935-7417933,4.06E-08,ENSG00000184560,C17orf74,1,FALSE,>0.20,
rs6713523;rs67822265,5,chr2:53759810-54197977,2.01E-06,ENSG00000143942,CHAC2,1,TRUE,>0.20,
rs7211055;rs12940055;rs72848751,16,chr17:61600695-62050278,5.82E-07,ENSG00000007312,CD79B,1,FALSE,>0.20,
rs74677442,1,chr17:28256218-28435470,1.94E-07,ENSG00000176927,EFCAB5,1,FALSE,>0.20,
rs7299842;rs11043298;rs10773208;rs12810587;rs78440611;rs11058322;rs10773002;rs34436758;rs10773515;rs12811983;rs112365238;rs61955089;rs146898200,26,chr12:122457328-124083116,2.50E-30,ENSG00000130783,CCDC62,1,TRUE,>0.20,
rs4680088,2,chr3:150570271-150798513,4.26E-06,ENSG00000163646,CLRN1,1,TRUE,>0.20,
rs363096;rs362307;rs4690081;rs6853599;rs6824567;rs116069820,12,chr4:2794750-3451211,5.77E-24,ENSG00000125388,GRK4,1,FALSE,>0.20,
rs57661533;rs982422,1,chr12:78720460-78753526,3.24E-08,ENSG00000258220,-,1,TRUE,>0.20,
rs6060308,2,chr20:33703160-33865928,1.76E-09,ENSG00000088298,EDEM2,1,FALSE,>0.20,
rs7924036;rs1061259;rs11591870;rs2403220;rs114219394;rs113409105;rs4481919;rs16918667;rs2438390;rs117452816;rs16918864;rs117589535,3,chr10:64893050-65384883,2.55E-21,ENSG00000148572,NRBF2,1,TRUE,>0.20,
rs11235803,4,chr11:72975550-73309234,1.40E-06,ENSG00000054967,RELT,1,FALSE,>0.20,
rs1335482;rs12754946;rs2647504;rs114020893,10,chr1:77747736-78835149,1.01E-11,ENSG00000235927,NEXN-AS1,1,FALSE,>0.20,
rs9888796;rs62059344;rs255053;rs111965666;rs3868142,51,chr16:67143915-68601039,1.20E-12,ENSG00000102904,TSNAXIP1,1,FALSE,>0.20,
rs12736382,4,chr1:183441351-183897666,5.33E-08,ENSG00000173627,APOBEC4,1,TRUE,>0.20,
rs7076810,4,chr10:96442710-96829254,7.56E-08,ENSG00000108242,CYP2C18,1,FALSE,>0.20,
rs2358628;rs75896367;rs75304016;rs3759747,9,chr14:74289262-74826711,1.78E-09,ENSG00000187097,ENTPD5,1,FALSE,>0.20,
rs56405138;rs7664299;rs28567740,3,chr4:165997256-166264312,1.31E-12,ENSG00000170088,TMEM192,1,TRUE,>0.20,
rs11210400;rs1569092;rs699844;rs6696503;rs149274654;rs12037741,2,chr1:74491699-74699770,1.63E-17,ENSG00000254685,FPGT,1,TRUE,>0.20,
rs2061062,1,chr4:12225075-12252910,2.05E-07,ENSG00000251210,-,1,TRUE,>0.20,
rs11980355,2,chr7:129847700-129929638,5.11E-06,ENSG00000165120,C7orf45,1,FALSE,>0.20,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000213402,PTPRCAP,1,FALSE,>0.20,
rs72672601;rs4559834;rs1622951,2,chr14:42728934-42998091,1.11E-07,ENSG00000259149,-,1,TRUE,>0.20,
rs148526428;rs145480052,17,chr12:110288959-111180744,4.87E-07,ENSG00000204852,TCTN1,1,FALSE,>0.20,
rs1196760;rs117789814,6,chr12:105196331-105630016,2.00E-08,ENSG00000257999,-,1,FALSE,>0.20,
rs111821073;rs4743729,4,chr9:99082988-99382112,1.58E-10,ENSG00000130958,SLC35D2,1,FALSE,>0.20,
rs9683585;rs1203765;rs11248108,5,chr4:2271309-2758103,2.46E-09,ENSG00000168884,TNIP2,1,TRUE,>0.20,
rs11663602;rs12970264;rs62103198;rs611517,8,chr18:77623668-78005429,9.27E-17,ENSG00000226742,HSBP1L1,1,FALSE,>0.20,
rs3111251;rs78365243,8,chr1:211431719-212208884,3.88E-10,ENSG00000082512,TRAF5,1,FALSE,>0.20,
rs10899282,2,chr11:76493295-76509198,1.05E-16,ENSG00000182704,TSKU,1,FALSE,>0.20,
rs10249075,5,chr7:77166592-77586818,4.04E-06,ENSG00000006576,PHTF2,1,TRUE,>0.20,
rs28737193;rs8032033,5,chr15:82422571-83474822,1.94E-07,ENSG00000186628,FSD2,1,FALSE,>0.20,
rs2366604,5,chr2:179278666-179370093,5.90E-06,ENSG00000079150,FKBP7,1,FALSE,>0.20,
rs9926649;rs8061964;rs3785092,17,chr16:66460816-66978999,1.58E-08,ENSG00000166592,RRAD,1,FALSE,>0.20,
rs10109509,1,chr8:129417515-129440162,2.87E-07,ENSG00000254275,-,1,TRUE,>0.20,
rs312945,1,chr2:21224301-21266945,2.34E-09,ENSG00000084674,APOB,1,TRUE,>0.20,
rs111935340,1,chr12:104849073-105155792,7.06E-06,ENSG00000171310,CHST11,1,TRUE,>0.20,
rs1047586,7,chr7:149941005-150109558,2.86E-07,ENSG00000188707,C7orf29,1,FALSE,>0.20,
rs6020560;rs4809794,3,chr20:49096304-49308065,3.84E-09,ENSG00000231715,COX6CP2,1,TRUE,>0.20,
rs2669424,2,chr8:105391652-105479281,9.56E-07,ENSG00000147647,DPYS,1,FALSE,>0.20,
rs146671954,3,chr9:136890561-136933657,2.53E-07,ENSG00000235138,-,1,FALSE,>0.20,
rs13107325;rs457134;rs1348024;rs17032150,2,chr4:102332443-103352415,1.98E-18,ENSG00000153064,BANK1,1,FALSE,>0.20,
rs728054;rs322349;rs10253968,3,chr7:136912088-137531838,2.34E-18,ENSG00000231114,-,1,TRUE,>0.20,
rs1773020,2,chr1:33938232-34631443,7.15E-06,ENSG00000121903,ZSCAN20,1,TRUE,>0.20,
rs2910823;rs27220;rs72755130;rs981230;rs79798166;rs4283754;rs13361043;rs4647102;rs10223052;rs77505016;rs79009682;rs6449503;rs79855925;rs9291710;rs112282911;rs293021;rs74913791;rs72757182;rs76981775;rs62370504;rs153384;rs138236239;rs16890369;rs141883478;rs11958102;rs7719721;rs115583034,12,chr5:57878048-61047590,1.84E-39,ENSG00000248529,-,1,TRUE,>0.20,
rs17413595;rs10204051,1,chr2:103353367-103460352,1.20E-12,ENSG00000170417,TMEM182,1,TRUE,>0.20,
rs4731413;rs10244329;rs75278839;rs140291167;rs4731392;rs10239419;rs53125,7,chr7:126986844-127897681,5.08E-14,ENSG00000106328,FSCN3,1,FALSE,>0.20,
rs17604349;rs62051146;rs17668674;rs35999374;rs9927049;rs138696382;rs34113301;rs62055046,21,chr16:70721342-72210777,2.36E-12,ENSG00000198650,TAT,1,FALSE,>0.20,
rs4320563;rs17680712;rs80037907;rs6471487;rs2453441;rs72679108;rs139840903;rs2336866,9,chr8:86999552-88627447,2.24E-14,ENSG00000254231,-,1,TRUE,>0.20,
rs118093058;rs117862461;rs4034,31,chr11:62201016-63177766,3.78E-12,ENSG00000177363,LRRN4CL,1,FALSE,>0.20,
rs9611597;rs9607859;rs4822112;rs148537066;rs2899355;rs2142695,35,chr22:41165634-42828401,2.30E-08,ENSG00000233903,-,1,FALSE,>0.20,
rs11678980;rs6760887;rs114952970;rs62194170;rs147303474;rs62188141;rs79997166;rs730289;rs16845572;rs116270371;rs150032378,5,chr2:161993419-162282381,1.60E-31,ENSG00000136560,TANK,1,TRUE,>0.20,
rs692315,2,chr11:129685714-129765485,1.05E-06,ENSG00000151715,TMEM45B,1,TRUE,>0.20,
rs112234653,1,chr16:12756919-12897738,5.76E-07,ENSG00000103381,CPPED1,1,TRUE,>0.20,
rs58125559;rs35773761;rs73497522,5,chr16:1560428-1820318,1.34E-07,ENSG00000131634,TMEM204,1,TRUE,>0.20,
rs1426619,1,chr10:90033621-90344287,1.40E-11,ENSG00000184719,RNLS,1,TRUE,>0.20,
rs2430808,3,chr8:22570769-22877712,8.43E-07,ENSG00000134020,PEBP4,1,TRUE,>0.20,
rs146819277,1,chr9:113127531-113342160,5.72E-06,ENSG00000165124,SVEP1,1,TRUE,>0.20,
rs17604349;rs62051146;rs17668674;rs35999374;rs9927049;rs138696382;rs34113301;rs62055046,21,chr16:70721342-72210777,2.36E-12,ENSG00000140832,MARVELD3,1,FALSE,>0.20,
rs7158218,4,chr14:73704205-74025651,5.63E-09,ENSG00000187105,HEATR4,1,FALSE,>0.20,
rs35751693;rs13034349;rs35836525;rs11692435,9,chr2:97541620-98612388,8.04E-10,ENSG00000115085,ZAP70,1,TRUE,>0.20,
rs9977825;rs79585412;rs117727881,7,chr21:46491648-46725172,3.37E-10,ENSG00000186866,POFUT2,1,FALSE,>0.20,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000114395,CYB561D2,1,FALSE,>0.20,
rs10800423,6,chr1:169074935-169455241,5.11E-06,ENSG00000234437,-,1,FALSE,>0.20,
rs72661749;rs13273689,1,chr8:64297397-64382763,1.68E-07,ENSG00000253205,-,1,FALSE,>0.20,
rs9888796;rs62059344;rs255053;rs111965666;rs3868142,51,chr16:67143915-68601039,1.20E-12,ENSG00000141096,DPEP3,1,TRUE,>0.20,
rs12614263,1,chr2:4005245-4021660,3.38E-09,ENSG00000237401,-,1,TRUE,>0.20,
rs2336721;rs6802671;rs77321042,20,chr3:52350335-53226733,1.05E-10,ENSG00000162267,ITIH3,1,FALSE,>0.20,
rs72654115,1,chr1:35220648-35224113,3.94E-07,ENSG00000189280,GJB5,1,TRUE,>0.20,
rs34098770;rs350281;rs1035578;rs137901501,3,chr16:12146055-12668145,2.95E-16,ENSG00000175604,-,1,TRUE,>0.20,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000160808,MYL3,1,FALSE,>0.20,
rs7226824,1,chr18:28570052-28622781,2.72E-08,ENSG00000134762,DSC3,1,TRUE,>0.20,
rs35751693;rs13034349;rs35836525;rs11692435,9,chr2:97541620-98612388,8.04E-10,ENSG00000228486,-,1,FALSE,>0.20,
rs10152930,1,chr15:61890713-61897440,1.76E-06,ENSG00000259530,-,1,TRUE,>0.20,
rs10879676;rs7973416,1,chr12:74526946-74796315,5.29E-09,ENSG00000251138,-,1,TRUE,>0.20,
rs1871032,1,chr11:67429633-67448671,8.54E-06,ENSG00000132746,ALDH3B2,1,TRUE,>0.20,
rs6104345,12,chr20:44179792-44471914,6.61E-07,ENSG00000180305,WFDC10A,1,FALSE,>0.20,
rs7495033,9,chr15:75041184-75249805,5.92E-10,ENSG00000140497,SCAMP2,1,FALSE,>0.20,
rs58779949;rs11231643,24,chr11:63606400-64139687,3.84E-09,ENSG00000202089,-,1,FALSE,>0.20,
rs9888796;rs62059344;rs255053;rs111965666;rs3868142,51,chr16:67143915-68601039,1.20E-12,ENSG00000124067,SLC12A4,1,FALSE,>0.20,
rs76187097;rs7734919,1,chr5:125695824-125832186,1.80E-06,ENSG00000155324,GRAMD3,1,TRUE,>0.20,
rs4839155;rs1538389;rs2076586;rs197420,5,chr1:112084840-112531777,4.66E-12,ENSG00000227811,-,1,TRUE,>0.20,
rs3790609,6,chr1:113009163-113258099,8.35E-09,ENSG00000155367,PPM1J,1,FALSE,>0.20,
rs2431023;rs3816752;rs1529597,3,chr15:56922379-57599965,5.76E-11,ENSG00000247982,-,1,TRUE,>0.20,
rs56139009;rs7916697,9,chr10:69865912-70454239,2.21E-06,ENSG00000138347,MYPN,1,FALSE,>0.20,
rs1473634,1,chr8:20831308-20852630,4.75E-07,ENSG00000253199,-,1,TRUE,>0.20,
rs9926649;rs8061964;rs3785092,17,chr16:66460816-66978999,1.58E-08,ENSG00000172840,PDP2,1,FALSE,>0.20,
rs9888796;rs62059344;rs255053;rs111965666;rs3868142,51,chr16:67143915-68601039,1.20E-12,ENSG00000103067,ESRP2,1,FALSE,>0.20,
rs73015648,6,chr11:124029128-124253258,2.78E-06,ENSG00000204293,OR8B2,1,FALSE,>0.20,
rs9888796;rs62059344;rs255053;rs111965666;rs3868142,51,chr16:67143915-68601039,1.20E-12,ENSG00000159708,LRRC36,1,FALSE,>0.20,
rs57352738;rs6953316;rs10239077,2,chr7:132937829-133949343,2.51E-18,ENSG00000155530,LRGUK,1,TRUE,>0.20,
rs10750539;rs10894736,1,chr11:133653566-133680395,1.11E-10,ENSG00000255258,-,1,TRUE,>0.20,
rs11466573,1,chr1:92145902-92371892,2.43E-06,ENSG00000069702,TGFBR3,1,TRUE,>0.20,
rs3751331;rs138569349;rs1148547,20,chr12:57984957-58351052,1.75E-11,ENSG00000245651,-,1,TRUE,>0.20,
rs2039204,8,chr9:130267618-130541020,5.23E-09,ENSG00000167094,TTC16,1,FALSE,>0.20,
rs8077038,9,chr17:79523915-79688041,1.70E-06,ENSG00000246747,-,1,TRUE,>0.20,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000149798,CDC42EP2,1,FALSE,>0.20,
rs4934169,5,chr10:82031576-82282387,3.58E-06,ENSG00000151224,MAT1A,1,FALSE,>0.20,
rs173003,11,chr19:36139125-36279724,5.50E-09,ENSG00000105668,UPK1A,1,FALSE,>0.20,
rs4021415;rs67665028,2,chr14:77490888-77552789,5.88E-07,ENSG00000258473,-,1,FALSE,>0.20,
rs6573559;rs6573552,11,chr14:64319683-65056098,3.11E-12,ENSG00000089775,ZBTB25,1,FALSE,>0.20,
rs7855503;rs10780614,6,chr9:86237964-86618985,2.39E-09,ENSG00000148057,C9orf103,1,TRUE,>0.20,
rs7171405;rs7174236,1,chr15:60780483-61521518,7.53E-10,ENSG00000069667,RORA,1,TRUE,>0.20,
rs359534,3,chr8:86239837-86393693,2.61E-06,ENSG00000164879,CA3,1,FALSE,>0.20,
rs151257075;rs16837272,17,chr1:156182773-156647189,7.96E-06,ENSG00000198715,C1orf85,1,FALSE,>0.20,
rs2077235;rs8046072;rs34167944,6,chr16:3493682-3767565,5.20E-09,ENSG00000167984,NLRC3,1,TRUE,>0.20,
rs58779949;rs11231643,24,chr11:63606400-64139687,3.84E-09,ENSG00000149761,NUDT22,1,FALSE,>0.20,
rs884534,3,chr3:195938358-196045170,3.16E-07,ENSG00000163959,-,1,TRUE,>0.20,
rs12409811;rs61804837,10,chr1:153777201-154243986,1.10E-07,ENSG00000143578,CREB3L4,1,FALSE,>0.20,
rs8077038,9,chr17:79523915-79688041,1.70E-06,ENSG00000204237,C17orf90,1,FALSE,>0.20,
rs853353;rs1974178,1,chr6:14117872-14137149,4.41E-07,ENSG00000112149,CD83,1,TRUE,>0.20,
rs73040059,2,chr3:23236561-23633284,1.23E-07,ENSG00000233153,-,1,TRUE,>0.20,
rs35550545;rs188415602;rs12718416;rs192569608;rs144581493,33,chr1:149900543-151098018,1.04E-07,ENSG00000143369,ECM1,1,TRUE,>0.20,
rs6712856,10,chr2:219283815-219680016,2.83E-07,ENSG00000135929,CYP27A1,1,TRUE,>0.20,
rs7184038,2,chr15:63413999-63450220,1.13E-07,ENSG00000103642,LACTB,1,TRUE,>0.20,
rs192436652;rs17516383,4,chr19:54926373-54984411,2.06E-12,ENSG00000167617,CDC42EP5,1,FALSE,>0.20,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000114737,CISH,1,FALSE,>0.20,
rs74462621,1,chr8:133697253-133772958,1.21E-09,ENSG00000165071,TMEM71,1,TRUE,>0.20,
rs17747544;rs6030378;rs1006749;rs2903624;rs7272983,2,chr20:40701392-41818610,1.74E-10,ENSG00000229892,-,1,TRUE,>0.20,
rs317050;rs35252753,1,chr4:35949843-36075457,2.50E-08,ENSG00000251160,-,1,TRUE,>0.20,
rs12909095,7,chr15:43524793-43802926,1.86E-06,ENSG00000159495,TGM7,1,FALSE,>0.20,
rs4739235,1,chr8:21155717-21166960,5.26E-09,ENSG00000254334,-,1,TRUE,>0.20,
rs4500960;rs76077165;rs80318928;rs2098526;rs6733162,1,chr2:162848751-162931052,1.04E-20,ENSG00000197635,DPP4,1,TRUE,>0.20,
rs2954114;rs112279125,5,chr12:122150658-122326517,9.40E-09,ENSG00000158104,HPD,1,FALSE,>0.20,
rs12151248;rs118040169;rs7408934;rs56252104;rs79105431;rs62109939;rs11775;rs9941452,7,chr19:13080432-13265716,3.81E-11,ENSG00000104903,LYL1,1,TRUE,>0.20,
rs10164318,2,chr19:33321421-33462869,7.29E-07,ENSG00000021488,SLC7A9,1,FALSE,>0.20,
rs4934169,5,chr10:82031576-82282387,3.58E-06,ENSG00000122378,C10orf58,1,FALSE,>0.20,
rs2290601;rs115693355;rs7635063;rs114958262;rs17241659;rs77927280,6,chr3:107762145-108308491,4.49E-19,ENSG00000114455,HHLA2,1,FALSE,>0.20,
rs2404976,1,chr7:99564343-99573780,4.12E-10,ENSG00000160862,AZGP1,1,TRUE,>0.20,
rs9666728;rs666128,1,chr11:87846431-87908635,7.10E-09,ENSG00000123892,RAB38,1,TRUE,>0.20,
rs6104345,12,chr20:44179792-44471914,6.61E-07,ENSG00000180083,WFDC11,1,FALSE,>0.20,
rs7711040,1,chr5:24835389-24840692,9.79E-06,ENSG00000248908,-,1,TRUE,>0.20,
rs35550545;rs188415602;rs12718416;rs192569608;rs144581493,33,chr1:149900543-151098018,1.04E-07,ENSG00000143382,ADAMTSL4,1,FALSE,>0.20,
rs6450382,1,chr5:55395507-55529186,2.11E-06,ENSG00000164512,ANKRD55,1,TRUE,>0.20,
rs56077320,1,chr3:159483176-159486401,9.84E-07,ENSG00000241211,IQCJ-SCHIP1-AS1,1,TRUE,>0.20,
rs12981405,6,chr19:19375174-19657468,2.75E-09,ENSG00000213996,TM6SF2,1,FALSE,>0.20,
rs28505285;rs12535503,2,chr7:44421969-44580914,3.50E-09,ENSG00000015520,NPC1L1,1,FALSE,>0.20,
rs35739581;rs918083;rs66734305,1,chr2:8062556-8418214,6.42E-07,ENSG00000235665,-,1,TRUE,>0.20,
rs11592299;rs3781339;rs12774577;rs10748841;rs76957677;rs2986016;rs1538205;rs146952142;rs138873813;rs3740409,22,chr10:104221149-105615301,8.69E-13,ENSG00000183128,CALHM3,1,FALSE,>0.20,
rs9888796;rs62059344;rs255053;rs111965666;rs3868142,51,chr16:67143915-68601039,1.20E-12,ENSG00000205220,PSMB10,1,FALSE,>0.20,
rs9797233,1,chr17:79762010-79771889,9.24E-07,ENSG00000215644,GCGR,1,TRUE,>0.20,
rs12602286;rs11656071,9,chr17:18853989-19290553,4.62E-14,ENSG00000154016,GRAP,1,FALSE,>0.20,
rs12602286;rs11656071,9,chr17:18853989-19290553,4.62E-14,ENSG00000189152,-,1,FALSE,>0.20,
rs4984541;rs8028148;rs35625885,2,chr15:96670598-96870590,3.40E-16,ENSG00000259359,-,1,TRUE,>0.20,
rs61894507,3,chr11:76092357-76264069,6.48E-07,ENSG00000179240,-,1,FALSE,>0.20,
